Id;BEER_Size(L);PROD_OriginalGravity;BEER_FinalGravity;BEER_AlcoholByVolume;BEER_IBU;BEER_Color;PROD_BoilSize;PROD_BoilTime;PROD_BoilGravity;PROD_Efficiency;PROD_MashThickness;PROD_SugarScale;PROD_BrewMethod;PROD_PitchRate;PROD_PrimaryTemp;PROD_ExcessGravity;Style
131;18.93;1.07;?;7.64;72.24;10.01;15.14;60;?;60;3.25;0;All Grain;0.35;?;60.7;American IPA
132;22.71;1.059;1.013;6.11;-1;4.29;26.5;-1;1.051;75;1.5;0;All Grain;?;?;60.59;American IPA
133;20.82;1.042;?;4.13;19.66;9.52;11.36;60;1.077;35;?;0;Partial Mash;?;18.89;60.42;American Pale Ale
135;20.82;1.059;1.016;5.54;71.06;6.69;28.39;60;1.043;60;1.5;0;All Grain;?;?;60.59;American IPA
136;20.82;1.057;1.015;5.56;36.51;5.26;15.14;60;1.079;35;?;0;extract;0.35;18.33;60.57;American Pale Ale
141;22.71;1.071;1.02;6.74;-1;5.57;32.18;60;1.05;57;1.4;0;All Grain;1;18.89;60.71;American Pale Ale
142;18.93;1.074;1.011;8.3;102.44;4.86;23.47;60;1.06;72;1.33;0;All Grain;?;20;60.74;American IPA
143;20;1.062;?;?;59.18;8.58;34;60;1.037;70;3;0;All Grain;?;?;60.62;American IPA
144;28;1.04;1.007;4.38;44;4.63;33;60;1.034;70;2.5;0;All Grain;?;18;60.4;American IPA
145;11.4;1.059;1.01;?;-1;7.19;15;60;1.045;75;?;0;BIAB;?;18;60.59;American IPA
147;20;1.05;1.009;5.43;42.38;7.54;8;60;1.125;35;?;0;?;?;?;60.5;American Pale Ale
148;37.85;1.058;?;5.42;21.85;9.46;48.26;60;?;80;?;0;All Grain;?;?;60.58;American Pale Ale
149;21;1.049;1.009;5.29;32.87;5.8;28.5;60;1.036;70;2.5;0;All Grain;0.5;18;60.49;American Pale Ale
150;10;1.047;1.009;5.03;37.64;8.56;6;60;?;35;?;0;?;?;18;60.47;American Pale Ale
151;3.79;1.063;1.012;6.69;75.06;6.71;5.68;60;1.042;25;?;0;extract;?;17.78;60.63;American IPA
158;19.87;1.062;1.016;6.14;0;12.2;25.55;70;1.049;70;?;0;BIAB;?;?;60.62;American IPA
160;20.82;1.052;1.016;4.68;47.25;9.87;?;60;1.095;75;?;0;Partial Mash;0.35;23.33;60.52;American Pale Ale
161;25.5;1.054;1.011;5.6;40.46;5.88;28.5;60;1.048;72;4;0;All Grain;?;18;60.54;American Pale Ale
162;41.64;1.055;1.017;4.96;0;4.27;49.21;60;1.046;70;1.5;0;All Grain;?;?;60.55;American Pale Ale
163;128.7;1.072;1.02;6.94;100.95;-1;151.42;60;?;72;1.5;0;All Grain;?;?;60.72;American IPA
165;25;1.05;1.013;4.88;36.35;10.41;?;90;1.044;45;?;0;BIAB;0.35;19;60.5;American Pale Ale
170;14.2;1.062;1.018;5.88;176.49;5.17;16.09;30;1.055;80;?;0;?;?;20;60.62;American IPA
171;20.82;1.058;1.016;5.47;?;18.69;28.39;?;?;70;1.33;0;All Grain;0.35;21.11;60.58;American IPA
172;18.93;1.054;1.015;5.12;69.44;-1;20.82;-1;1.049;35;?;0;extract;0.5;18.89;60.54;American IPA
173;18.93;1.068;1.017;6.74;75.2;6.36;13.25;60;?;35;?;0;extract;?;?;60.68;American IPA
174;20.82;1.061;1.013;6.18;77.02;7.01;28.39;60;1.044;60;1.25;0;All Grain;0.35;21.11;60.61;American IPA
176;20.82;1.05;1.009;5.4;66.11;7.35;28.39;60;1.037;75;?;0;BIAB;?;17.78;60.5;American IPA
177;41.64;1.063;1.018;5.92;63.98;9.43;43.53;-1;1.06;70;1.3;0;All Grain;?;?;60.63;American IPA
178;20.82;1.065;1.013;6.8;49.75;10.15;28.39;60;1.048;70;1.5;0;All Grain;?;15.56;60.65;American IPA
182;21;1.052;1.01;5.46;30.1;5.86;28.5;60;1.038;?;?;0;BIAB;1;20;60.52;American Pale Ale
183;20.82;1.074;1.021;6.99;74.06;11.9;28.39;60;?;70;?;0;All Grain;0.35;18.33;60.74;American IPA
184;21;1.057;1.012;?;52.52;8.39;32;60;1.037;70;3.4;0;?;0.5;16;60.57;American Pale Ale
187;22;1.043;1.008;4.53;56.03;5.01;25.5;60;1.037;70;2.7;0;All Grain;0.35;19;60.43;American IPA
189;18.93;1.06;1.014;6.02;52.7;6.64;28.39;60;1.04;65;1.5;0;All Grain;?;?;60.6;American IPA
191;18.93;1.066;1.016;6.62;-1;8.56;28.39;-1;1.044;70;1.2;0;All Grain;0.35;?;60.66;American Pale Ale
193;21;1.074;1.014;7.83;51.33;6.91;28;60;1.055;?;?;0;BIAB;?;?;60.74;American IPA
194;18.93;1.067;1.017;6.55;62.39;7.71;26.5;45;1.048;70;?;0;extract;?;18.33;60.67;American IPA
195;20.82;1.043;?;4.55;45.84;5.78;?;60;1.033;70;?;0;BIAB;0.35;18.33;60.43;American Pale Ale
196;20;1.049;?;5.38;47.74;?;15;60;1.065;60;3;0;All Grain;?;19;60.49;American Pale Ale
197;28;1.053;1.013;5.22;70.01;9.43;28.5;60;1.052;62.3;3.4;0;All Grain;0.75;20;60.53;American IPA
198;11.36;1.052;1.011;5.45;36.33;9.52;12.3;15;1.048;65;?;0;BIAB;1.25;20;60.52;American Pale Ale
200;11.92;?;1.021;5.73;48.89;8.64;14.2;60;1.055;75;1.5;0;All Grain;0.35;22.22;?;American IPA
201;37.85;1.058;1.013;5.93;-1;4.13;44.4;60;1.05;70;1.3;0;All Grain;?;22.22;60.58;American IPA
202;18.93;1.065;1.016;6.35;87.09;8.22;24.61;90;1.05;70;1.4;0;All Grain;0.5;21;60.65;American IPA
203;20.82;1.083;?;8.6;53.9;5.12;28.39;60;1.061;70;1.5;0;All Grain;?;20;60.83;American IPA
205;20.82;1.048;?;4.69;27.88;8.12;28.39;60;1.035;70;1.5;0;All Grain;?;?;60.48;American Pale Ale
208;20.82;1.048;1.013;4.59;38.3;5.21;11.36;60;1.089;25;?;0;extract;?;20;60.48;American Pale Ale
209;20.82;1.066;1.017;6.53;104.04;5.42;24.61;-1;1.056;60;?;0;BIAB;?;20;60.66;American IPA
211;39.75;1.057;1.014;5.62;63.89;6.29;45.42;60;1.05;70;1.5;0;All Grain;?;?;60.57;American IPA
212;16;?;1.009;6.26;59.81;8.3;23;60;?;55;2.4;0;All Grain;?;18;?;American Pale Ale
216;10;1.056;1.009;6.08;47.46;6.74;15;60;1.037;61;?;0;BIAB;0.35;18;60.56;American IPA
218;20.82;1.054;1.009;5.78;38.82;7.59;28.39;?;1.039;70;?;0;BIAB;0.35;20;60.54;American Pale Ale
220;50;1.071;1.018;6.99;58.27;6.61;60;90;1.059;80;3.1;0;All Grain;?;?;60.71;American IPA
221;20.82;1.052;1.013;5.08;272.27;10.43;28.39;60;1.038;35;1.5;0;All Grain;0.75;18.33;60.52;American IPA
222;18.93;1.052;1.013;5.08;63.67;5.56;7.57;75;1.129;35;?;0;extract;?;22.22;60.52;American Pale Ale
224;20.82;1.064;1.016;6.31;84.85;5.34;28.39;60;1.047;70;1.5;0;All Grain;?;?;60.64;American IPA
226;26;1.046;1.012;4.53;49.54;4.74;30;60;1.04;85;3.2;0;All Grain;0.75;20;60.46;American Pale Ale
228;21;1.063;1.018;?;27.99;5.31;9;60;1.148;80;?;0;?;?;18;60.63;American IPA
229;20.82;1.07;1.012;7.67;70.11;6.91;23.66;60;1.062;75;?;0;BIAB;?;?;60.7;American IPA
230;20.82;1.053;1.009;5.68;64.25;6.88;26.5;60;?;75;?;0;BIAB;0.35;21.11;60.53;American Pale Ale
231;18.93;1.07;1.014;7.33;100.65;7.78;?;60;1.14;35;?;0;extract;?;?;60.7;American IPA
236;22.71;1.074;1.016;7.52;78.49;12.32;32.18;90;1.052;70;?;0;BIAB;1;21.11;60.74;American IPA
239;41.64;1.068;?;7.18;51.32;8.96;47.32;60;1.059;?;1.5;?;All Grain;0.75;23.89;60.68;American IPA
240;13;1.048;1.012;4.8;55.15;29.78;17;60;1.037;70;?;0;BIAB;?;20;60.48;American IPA
241;21;1.062;1.017;5.89;46.15;10.29;25;60;1.052;75;4.1;0;All Grain;?;19;60.62;American Pale Ale
243;20.82;1.066;1.015;6.61;82.59;7.84;28.39;60;1.048;70;1.25;?;All Grain;0.75;18.89;60.66;American IPA
244;20.82;1.07;1.014;7.32;85.02;-1;28.39;60;1.051;60;1.5;0;All Grain;?;?;60.7;American IPA
245;20.82;1.039;1.009;3.98;28.94;4.13;24.61;60;1.033;70;?;0;BIAB;0.75;21.11;60.39;American Pale Ale
250;27;1.054;1.01;5.78;31.76;9.06;21.2;60;1.069;80;3;0;All Grain;?;?;60.54;American Pale Ale
251;20;1.057;1.011;6.01;36.87;6.95;27;60;1.042;64;3;0;All Grain;?;18;60.57;American IPA
254;3.79;1.053;1.013;5.17;-1;5.1;7.57;60;1.026;35;?;?;extract;?;?;60.53;American IPA
255;20.82;1.001;1;0.08;0;0.41;28.39;60;1.001;70;1.33;0;All Grain;0.35;18.89;60.01;American IPA
256;22.71;1.066;1.016;6.53;107.86;4.94;26.88;60;1.056;72.5;1.5;?;All Grain;0.75;?;60.66;American IPA
258;20.82;1.059;1.014;5.88;28.43;6.74;24.61;60;1.05;75;1.5;0;All Grain;1;20;60.59;American IPA
259;18.93;1.083;1.02;?;80.3;6.27;9.46;?;1.167;35;?;0;extract;?;?;60.83;American IPA
262;18.93;1.068;1.01;?;108.57;8.02;22.71;60;1.057;?;1.5;0;All Grain;?;?;60.68;American IPA
263;37.85;1.071;1.018;7.03;111.79;8.48;45.42;90;1.06;70;1.5;0;All Grain;?;?;60.71;American IPA
264;20.82;1.055;1.012;5.64;54;7.64;28.39;60;1.04;75;1.5;0;?;?;20;60.55;American Pale Ale
265;20;1.048;1.009;5.14;31.4;-1;9;60;1.107;35;?;0;extract;0.35;19;60.48;American Pale Ale
266;20.82;1.038;1.007;4.06;8.57;2.47;11.36;60;1.07;35;?;0;extract;?;?;60.38;American Pale Ale
267;9.46;1.054;1.01;5.73;28.43;9.48;13.25;60;1.038;75;?;0;BIAB;0.5;17.78;60.54;American Pale Ale
268;20.82;1.056;1.011;?;59.36;7.67;28.39;60;1.041;70;?;0;All Grain;?;?;60.56;American IPA
270;22;1.054;1.014;5.35;35.77;7.94;28.5;90;1.042;75;3;0;All Grain;0.75;20;60.54;American Pale Ale
271;25;1.054;1.009;5.86;32.94;6.15;35;-1;1.038;75;3;0;All Grain;?;0;60.54;American Pale Ale
273;18.93;1.079;1.018;7.99;52.62;6.93;24.61;60;1.061;70;?;0;Partial Mash;0.5;21.11;60.79;American IPA
275;20.82;1.066;1.019;6.27;163.57;?;26.5;60;1.052;70;1.25;0;All Grain;?;18.33;60.66;American Pale Ale
278;50;1.064;1.014;6.5;49.68;5.75;57;90;1.056;84;5;0;All Grain;1;20;60.64;American IPA
279;50;1.052;?;5.33;29.35;6.08;60;60;1.043;65;3;0;All Grain;?;?;60.52;American Pale Ale
280;23;?;1.011;5.46;81.39;4.49;27;60;1.045;70;3;0;All Grain;?;18;?;American IPA
281;20.82;1.068;1.016;6.78;81.18;10.75;28.39;75;1.05;70;1.2;?;All Grain;?;20;60.68;American Pale Ale
282;19.87;1.053;1.013;5.22;7.48;3.23;15.14;15;1.07;50;?;0;Partial Mash;0.5;?;60.53;American Pale Ale
284;20.82;1.067;1.021;5.95;63.7;11.16;28.39;60;1.049;75;?;0;BIAB;?;21.11;60.67;American IPA
285;29;1.048;?;4.92;33.78;7.52;29;60;1.048;72;?;0;?;?;21;60.48;American IPA
287;20.82;1.051;1.012;5.15;38.16;6.47;28.39;60;1.038;56;?;0;BIAB;?;?;60.51;American Pale Ale
288;56.78;1.049;1.013;4.75;43.85;4.72;64.35;60;1.043;65;1.5;0;All Grain;?;19.44;60.49;American IPA
289;20.82;1.056;1.013;5.63;53.92;7.69;11.36;70;1.102;35;?;0;extract;0.5;21.11;60.56;American Pale Ale
290;30.28;1.049;1.008;5.39;?;3.2;34.07;60;1.043;78;1.5;0;All Grain;0.75;32.22;60.49;American Pale Ale
291;41.64;1.061;1.013;6.25;91.14;?;47.32;60;1.054;70;?;0;All Grain;?;?;60.61;American IPA
294;21;1.058;1.011;6.06;62.35;6.35;24;90;1.05;75;3.5;0;All Grain;?;?;60.58;American IPA
295;20.82;1.058;1.014;5.84;?;5.74;26.5;60;1.046;75;1.25;0;All Grain;?;20;60.58;American Pale Ale
296;20;1.06;1.011;6.44;65.38;6.81;27;60;1.044;65;3.5;0;All Grain;0.5;19;60.6;American IPA
298;28;1.049;1.011;5.01;61.73;6.79;37.5;60;1.036;67;3;0;All Grain;?;20;60.49;American IPA
301;20.82;1.077;1.023;7.19;42.46;5.82;28.39;60;1.057;70;?;0;BIAB;?;20;60.77;American IPA
302;23;1.056;1.011;5.92;46.86;9.27;28;?;1.046;75;3;0;All Grain;?;18;60.56;American Pale Ale
304;22.71;1.056;1.011;5.87;?;7.22;30.28;60;1.042;70;1.5;0;All Grain;1;?;60.56;American Pale Ale
305;25;1.048;1.012;4.76;?;4.13;25;60;1.048;75;5;0;All Grain;0.5;22;60.48;American Pale Ale
308;28;1.048;1.013;4.54;40.06;9.75;20;-1;1.067;70;?;0;Partial Mash;?;?;60.48;American Pale Ale
309;37.85;1.073;1.017;7.25;93.88;6.08;43.53;60;1.063;70;1.25;0;All Grain;0.5;20;60.73;American IPA
311;18.93;1.053;1.009;5.81;175.16;?;18.93;60;1.053;35;1.5;0;All Grain;?;23.89;60.53;American IPA
313;22.71;1.083;1.02;8.34;-1;7.86;28.39;60;1.067;?;1.5;0;All Grain;?;20.56;60.83;American IPA
315;18.93;1.07;1.013;7.44;66.16;6.56;26.5;60;1.05;70;1.3;0;All Grain;0.35;17.78;60.7;American IPA
317;10.5;1.063;?;6.5;60.17;31.44;11.96;?;1.056;25;?;?;?;?;21;60.63;American IPA
319;40;1.051;1.013;5.03;55.81;5.01;52;80;1.039;?;5.8;0;All Grain;0.75;16;60.51;American Pale Ale
320;20.82;1.065;1.012;7.04;104.8;5.02;11.36;?;1.12;35;?;0;extract;0.35;20;60.65;American IPA
323;18.93;1.062;1.017;5.83;163.5;10.37;9.46;60;?;70;?;0;extract;?;?;60.62;American IPA
324;20.82;1.05;1.009;?;37.26;5.85;28.39;60;1.036;70;?;0;BIAB;0.35;20;60.5;American Pale Ale
327;75.71;1.055;?;?;50.6;6.37;83.28;60;?;75;1.5;0;All Grain;?;18.89;60.55;American IPA
328;20;1.058;1.011;6.15;48.89;4.81;9;60;1.039;35;?;0;?;?;19;60.58;American IPA
329;20.82;1.089;1.026;8.28;139.92;5.47;26.5;30;1.07;70;?;0;BIAB;0.75;20;60.89;American IPA
330;18.93;1.049;1.01;?;97.08;5.15;24.61;60;1.038;65;1.25;0;All Grain;?;21.11;60.49;American IPA
332;24;?;1.016;7.19;63.47;18.8;13;75;1.131;70;?;0;?;1;20;?;American IPA
333;20.82;1.056;1.014;5.51;69.08;8.44;11.36;60;?;75;?;0;Partial Mash;0.35;?;60.56;American IPA
335;56.78;1.076;1.016;7.94;49.79;6.62;64.35;60;1.067;73;1.25;0;All Grain;?;20;60.76;American IPA
337;27;1.06;1.016;5.69;47.16;4.68;30;60;1.054;88;3;0;All Grain;0.75;19;60.6;American IPA
339;18.93;?;1.02;6.5;45.03;10.21;25.55;90;1.051;70;1.5;0;All Grain;0.75;18.89;?;American IPA
340;18;1.062;1.015;6.16;37.11;3.01;25;90;1.045;75;3;0;All Grain;0.75;19;60.62;American IPA
341;25;1.045;?;4.69;30.67;4.99;29;60;1.038;70;3;0;All Grain;?;?;60.45;American Pale Ale
343;23;1.048;1.009;5.12;40.17;8.64;15;60;1.074;35;?;0;extract;0.35;20;60.48;American Pale Ale
345;60;1.041;1.01;4.05;29.3;5.75;80;60;1.031;70;3;0;All Grain;0.5;18;60.41;American Pale Ale
346;11.36;1.059;?;5.81;54.37;7.02;15.14;30;1.044;72;?;0;BIAB;?;20;60.59;American IPA
350;21;1.055;1.013;?;?;-1;28.5;60;1.041;70;3;0;All Grain;?;?;60.55;American Pale Ale
352;20.82;1.062;?;?;?;5.16;28.39;60;1.045;70;1.5;0;All Grain;?;21.11;60.62;American IPA
353;66;1.051;1.011;5.29;37.44;8.12;77;60;1.044;75;2.5;0;All Grain;?;18;60.51;American Pale Ale
356;20.82;1.062;1.013;6.37;126.01;6.13;24.98;60;1.052;65;1.25;0;All Grain;?;?;60.62;American IPA
357;21.58;1.055;1.01;5.94;37.46;9.01;30.28;80;1.039;70;1.3;0;All Grain;0.35;18.33;60.55;American Pale Ale
358;18.93;?;1.008;4.47;41.7;2.72;9.46;60;1.084;40;?;0;extract;?;?;?;American Pale Ale
361;20.82;1.064;?;6.33;58.21;15.35;26.5;90;1.051;75;1.5;0;All Grain;0.75;18.33;60.64;American IPA
362;20.82;1.07;?;7.43;67.4;5.64;24.61;60;1.059;70;?;0;BIAB;0.5;20;60.7;American IPA
364;20.82;1.065;1.015;6.54;42.79;5.41;28.39;70;1.047;80;1.33;0;All Grain;1;16.67;60.65;American IPA
365;21;1.057;1.011;6.02;42.01;4.04;11;-1;1.108;72;?;0;extract;0.35;20;60.57;American IPA
367;23;1.05;1.013;4.81;34.02;5.81;27;60;1.042;35;?;0;extract;0.75;18;60.5;American Pale Ale
368;25;1.057;1.012;5.82;38.19;5.38;30;60;1.047;70;?;0;BIAB;?;20;60.57;American Pale Ale
371;3.79;?;1.016;5.34;36.62;8.02;5.68;60;1.038;70;?;0;All Grain;0.35;21.11;?;American IPA
372;13.25;1.089;1.023;8.7;74.33;8.3;13.25;90;1.077;65;?;0;BIAB;1;19.44;60.89;American IPA
373;20.82;1.068;1.013;7.16;71.52;5.13;28.39;60;?;70;1.25;0;All Grain;?;18.33;60.68;American IPA
374;22.71;1.053;1.01;5.58;51.52;5.13;30.28;60;1.039;70;1.5;0;All Grain;?;17.22;60.53;American Pale Ale
